"","motif","sourceMotif","gene"
"AFP.m0","AFP.m0","AFP.e0","AFP"
"AHR--ARNT--HIF1A.m0","AHR--ARNT--HIF1A.m0","AHR--ARNT--HIF1A.e0","AHR--ARNT--HIF1A"
"AHR--ARNT.m0","AHR--ARNT.m0","N3_AHR--ARNT.e0/N2_Ahr--Arnt.h0/N5_AHR--ARNT.e2/N1_MA0006.2","AHR--ARNT"
"AHR--ARNT.m1","AHR--ARNT.m1","N4_AHR--ARNT.e1","AHR--ARNT"
"AHR.m0","AHR.m0","N1_M10939/N2_AHR.e0","AHR"
"AHR.m1","AHR.m1","N3_AHR.e1","AHR"
"AIRE.m0","AIRE.m0","AIRE.e1","AIRE"
"ALX1.m0","ALX1.m0","N1_MA0854.2/N2_Alx1.h0/N3_Alx1.h1/N4_Alx1.h2/N12_ALX1.e1/N13_ALX1.e2","ALX1"
"ALX1.m1","ALX1.m1","N5_M00526/N7_M03476/N14_ALX1.e3","ALX1"
"ALX1.m2","ALX1.m2","N6_M03430/N16_ALX1.e5","ALX1"
"ALX1.m3","ALX1.m3","N8_M03477/N15_ALX1.e4","ALX1"
"ALX1.m4","ALX1.m4","N9_M05531/N10_M05532","ALX1"
"ALX1.m5","ALX1.m5","N11_ALX1.e0","ALX1"
"ALX3.m0","ALX3.m0","N1_Alx3.h0/N11_ALX3.e0","ALX3"
"ALX3.m1","ALX3.m1","N5_M05399/N6_M05402/N7_M05403/N2_M03376","ALX3"
"ALX3.m2","ALX3.m2","N4_M03378/N14_ALX3.e3","ALX3"
"ALX3.m3","ALX3.m3","N8_M05404","ALX3"
"ALX4.m0","ALX4.m0","N1_MA0853.2/N2_Alx4.h0/N3_Alx4.h1/N9_ALX4.e1","ALX4"
"ALX4.m1","ALX4.m1","N7_M03482/N11_ALX4.e3/N4_M03283/N10_ALX4.e2","ALX4"
"ALX4.m2","ALX4.m2","N6_M05122/N5_M05121","ALX4"
"ALX4.m3","ALX4.m3","N8_ALX4.e0","ALX4"
"ANHX.m0","ANHX.m0","M02178","ANHX"
"AR.m0","AR.m0","N1_MA0007.4/N2_Ar.h0/N4_M03594/N3_M03593/N6_M10733/N7_AR.h0","AR"
"AR.m1","AR.m1","N5_M10732/N8_AR.h1","AR"
"ARGFX.m0","ARGFX.m0","N1_M05573/N5_MA1463.2/N6_ARGFX.h0/N3_M05575","ARGFX"
"ARGFX.m1","ARGFX.m1","N4_M05576/N2_M05574","ARGFX"
"ARHGEF12.m0","ARHGEF12.m0","ARHGEF12.e0","ARHGEF12"
"ARID3A.m0","ARID3A.m0","N2_Arid3a.h0/N4_ARID3A.e0/N1_MA0151.1","ARID3A"
"ARID3A.m1","ARID3A.m1","N3_Arid3a.h1/N5_ARID3A.e1","ARID3A"
"ARID3B.m0","ARID3B.m0","N1_MA0601.2/N2_Arid3b.h0/N3_M01741/N6_M10891","ARID3B"
"ARID3B.m1","ARID3B.m1","N5_M06295","ARID3B"
"ARID5A.m0","ARID5A.m0","N4_M00171/N1_MA0602.2/N2_Arid5a.h0/N3_Arid5a.h1/N5_ARID5A.e0","ARID5A"
"ARID5B.m0","ARID5B.m0","N1_M10890/N2_ARID5B.e0","ARID5B"
"ARNT--AHR.m0","ARNT--AHR.m0","Arnt--Ahr.h0","ARNT--AHR"
"ARNT--HIF1A.m0","ARNT--HIF1A.m0","N2_ARNT--HIF1A.h0/N1_MA0259.2","ARNT--HIF1A"
"ARNT.m0","ARNT.m0","N7_M10987/N9_ARNT.e1/N6_M10986/N8_ARNT.e0/N4_Arnt.h1/N10_ARNT.e2/N2_MA0004.1/N1_M01801/N3_Arnt.h0/N5_M10582","ARNT"
"ARNT2.m0","ARNT2.m0","N2_M04374/N3_MA1464.2/N4_ARNT2.h0","ARNT2"
"ARX.m0","ARX.m0","N1_MA0874.2/N2_Arx.h0/N3_Arx.h1/N13_ARX.e0","ARX"
"ARX.m1","ARX.m1","N4_M00315/N7_M00320/N9_M05099","ARX"
"ARX.m2","ARX.m2","N5_M00317","ARX"
"ARX.m3","ARX.m3","N12_M03473/N15_ARX.e2/N8_M03280/N14_ARX.e1","ARX"
"ASCL1.m0","ASCL1.m0","N2_M04340/N5_ASCL1.h0/N1_M04339/N3_MA1100.3","ASCL1"
"ASCL1.m1","ASCL1.m1","N4_MA1631.2/N6_ASCL1.h1","ASCL1"
"ASCL2.m0","ASCL2.m0","N4_Ascl2.h0/N2_M03018/N3_MA0816.1/N5_Ascl2.h1/N13_ASCL2.e1/N11_M04415/N10_M04414/N7_M04411/N8_M04412/N6_Ascl2.h2/N12_ASCL2.e0","ASCL2"
"ASCL2.m1","ASCL2.m1","N9_M04413","ASCL2"
"ATF1.m0","ATF1.m0","N1_M01886/N2_MA0604.1/N4_Atf1.h1","ATF1"
"ATF1.m1","ATF1.m1","N5_Atf1.h2","ATF1"
"ATF2.m0","ATF2.m0","N8_M11064/N12_ATF2.e0","ATF2"
"ATF2.m1","ATF2.m1","N9_M11065/N14_ATF2.e2","ATF2"
"ATF2.m2","ATF2.m2","N10_MA1632.2/N11_ATF2.h0","ATF2"
"ATF2.m3","ATF2.m3","N13_ATF2.e1","ATF2"
"ATF3.m0","ATF3.m0","N1_M01889/N22_ATF3.e4/N23_ATF3.e5/N24_ATF3.e6/N27_ATF3.e9/N28_ATF3.e10/N33_ATF3.e15/N34_ATF3.e16/N35_ATF3.e17","ATF3"
"ATF3.m1","ATF3.m1","N29_ATF3.e11","ATF3"
"ATF3.m2","ATF3.m2","N3_Atf3.h0/N16_M10612/N15_M08981","ATF3"
"ATF3.m3","ATF3.m3","N8_M04527/N17_MA0605.3/N18_ATF3.h0/N37_ATF3.e19","ATF3"
"ATF3.m4","ATF3.m4","N6_M04525/N7_M04526/N9_M04528","ATF3"
"ATF3.m5","ATF3.m5","N19_ATF3.e0","ATF3"
"ATF3.m6","ATF3.m6","N12_M08282/N10_M08280/N11_M08281","ATF3"
"ATF3.m7","ATF3.m7","N26_ATF3.e8","ATF3"
"ATF3.m8","ATF3.m8","N25_ATF3.e7","ATF3"
"ATF4.m0","ATF4.m0","N1_M03069/N13_ATF4.e2","ATF4"
"ATF4.m1","ATF4.m1","N2_M10619/N3_Atf4.h0/N9_MA0833.3/N10_ATF4.h0","ATF4"
"ATF4.m2","ATF4.m2","N4_M03038/N12_ATF4.e1","ATF4"
"ATF4.m3","ATF4.m3","N5_M04231/N6_M04478/N8_M04480","ATF4"
"ATF4.m4","ATF4.m4","N7_M04479","ATF4"
"ATF6.m0","ATF6.m0","N5_M04458/N10_MA1466.2/N11_ATF6.h0/N7_M04460/N1_M04222/N12_ATF6.e0/N9_M11070","ATF6"
"ATF6.m1","ATF6.m1","N2_M04223","ATF6"
"ATF6.m2","ATF6.m2","N3_M04224/N6_M04459/N8_M04461","ATF6"
"ATF6.m3","ATF6.m3","N4_M04225","ATF6"
"ATF6B.m0","ATF6B.m0","N6_M04580/N1_M04245/N9_M04583","ATF6B"
"ATF6B.m1","ATF6B.m1","N7_M04581/N2_M04246","ATF6B"
"ATF6B.m2","ATF6B.m2","N3_M04247/N5_M04579","ATF6B"
"ATF6B.m3","ATF6B.m3","N4_M04248","ATF6B"
"ATF7.m0","ATF7.m0","N4_M03076/N7_MA0834.2/N8_ATF7.h0/N9_ATF7.e0/N5_M04586","ATF7"
"ATMIN.m0","ATMIN.m0","M08218","ATMIN"
"ATOH1.m0","ATOH1.m0","N11_M04373/N9_M04371/N1_M01836/N2_M03024/N4_MA0461.3/N7_Atoh1.h1/N13_ATOH1.e0","ATOH1"
"ATOH1.m1","ATOH1.m1","N12_ATOH1.h0/N8_M04370/N10_M04372/N3_M10603/N6_Atoh1.h0","ATOH1"
"ATOH1.m2","ATOH1.m2","N5_MA1467.3","ATOH1"
"ATOH7.m0","ATOH7.m0","N2_M04398/N1_M04397/N3_MA1468.1/N4_ATOH7.h0","ATOH7"
"BACH1--MAFK.m0","BACH1--MAFK.m0","N2_Bach1--Mafk.h0/N1_MA0591.2","BACH1--MAFK"
"BACH1.m0","BACH1.m0","N1_Bach1.h0/N5_M10611/N3_M08978","BACH1"
"BACH1.m1","BACH1.m1","N2_M08977","BACH1"
"BACH1.m2","BACH1.m2","N4_M08979","BACH1"
"BACH1.m3","BACH1.m3","N6_M11098/N9_BACH1.e0","BACH1"
"BACH2.m0","BACH2.m0","N5_M10607/N1_Bach2.h0","BACH2"
"BACH2.m1","BACH2.m1","N2_M04451/N4_M04453/N7_MA1101.3/N9_BACH2.h0","BACH2"
"BACH2.m2","BACH2.m2","N3_M04452/N10_BACH2.h1/N8_MA1470.2","BACH2"
"BACH2.m3","BACH2.m3","N6_M11061/N11_BACH2.e0","BACH2"
"BARHL1.m0","BARHL1.m0","N1_Barhl1.h0/N4_BARHL1.e0","BARHL1"
"BARHL1.m1","BARHL1.m1","N2_MA0877.4","BARHL1"
"BARHL1.m2","BARHL1.m2","N6_BARHL1.e2","BARHL1"
"BARHL1.m3","BARHL1.m3","N7_BARHL1.e3","BARHL1"
"BARHL2.m0","BARHL2.m0","N1_Barhl2.h0/N4_BARHL2.e0","BARHL2"
"BARHL2.m1","BARHL2.m1","N2_MA0635.2/N3_BARHL2.h0/N8_BARHL2.e4/N5_BARHL2.e1","BARHL2"
"BARHL2.m2","BARHL2.m2","N9_BARHL2.e5/N6_BARHL2.e2","BARHL2"
"BARHL2.m3","BARHL2.m3","N10_BARHL2.e6/N7_BARHL2.e3","BARHL2"
"BARX1.m0","BARX1.m0","N1_Barx1.h1/N6_BARX1.e0","BARX1"
"BARX1.m1","BARX1.m1","N7_BARX1.e1/N2_M03348","BARX1"
"BARX1.m2","BARX1.m2","N3_M03349/N4_MA0875.2/N5_BARX1.h0/N8_BARX1.e2","BARX1"
"BARX2.m0","BARX2.m0","N1_Barx2.h0/N6_BARX2.e0","BARX2"
"BARX2.m1","BARX2.m1","N3_M05120/N2_M05119/N4_MA1471.2/N5_BARX2.h0","BARX2"
"BATF--JUN.m0","BATF--JUN.m0","N1_MA0462.3/N2_BATF--JUN.h0","BATF--JUN"
"BATF.m0","BATF.m0","N8_BATF.e0","BATF"
"BATF.m1","BATF.m1","N9_BATF.e1","BATF"
"BATF.m2","BATF.m2","N10_BATF.e2","BATF"
"BATF.m3","BATF.m3","N11_BATF.e3","BATF"
"BATF3.m0","BATF3.m0","N1_M03037/N2_M04229","BATF3"
"BATF3.m1","BATF3.m1","N3_M04230","BATF3"
"BATF3.m2","BATF3.m2","N5_M04473/N4_M04472/N6_M04474/N7_M04475","BATF3"
"BATF3.m3","BATF3.m3","N8_MA0835.3/N9_BATF3.h0","BATF3"
"BBX.m0","BBX.m0","N1_Bbx.h0/N3_BBX.e0","BBX"
"BCL11A.m0","BCL11A.m0","N1_Bcl11a.h0","BCL11A"
"BCL11A.m1","BCL11A.m1","N4_MA2324.1/N2_M01066","BCL11A"
"BCL11A.m2","BCL11A.m2","N3_M08384/N6_BCL11A.e1","BCL11A"
"BCL11A.m3","BCL11A.m3","N5_BCL11A.e0","BCL11A"
"BCL11B.m0","BCL11B.m0","N1_MA1989.2","BCL11B"
"BCL11B.m1","BCL11B.m1","N3_M01069/N4_M01070","BCL11B"
"BCL11B.m2","BCL11B.m2","N5_M04657/N6_M04658","BCL11B"
"BCL3.m0","BCL3.m0","N1_BCL3.e0","BCL3"
"BCL3.m1","BCL3.m1","N3_BCL3.e2","BCL3"
"BCL3.m2","BCL3.m2","N4_BCL3.e3","BCL3"
"BCL6.m0","BCL6.m0","N4_M00282","BCL6"
"BCL6.m1","BCL6.m1","N7_M04630/N5_M04628/N10_BCL6.h0/N9_MA0463.3","BCL6"
"BCL6.m2","BCL6.m2","N6_M04629/N8_M04631","BCL6"
"BCL6B.m0","BCL6B.m0","N4_M03100/N10_BCL6B.h0/N12_BCL6B.e1/N9_MA0731.1/N7_M04705/N5_M04703","BCL6B"
"BCL6B.m1","BCL6B.m1","N8_M04706/N6_M04704","BCL6B"
"BCLAF1.m0","BCLAF1.m0","N1_BCLAF1.e0","BCLAF1"
"BDP1.m0","BDP1.m0","N1_BDP1.e0","BDP1"
"BHLHA15.m0","BHLHA15.m0","N1_M01831/N3_Bhlha15.h0/N5_M04399/N6_M04400/N7_M04401/N10_BHLHA15.h0/N11_BHLHA15.h1","BHLHA15"
"BHLHA15.m1","BHLHA15.m1","N2_MA1472.3","BHLHA15"
"BHLHA15.m2","BHLHA15.m2","N4_M03007/N8_M04402/N9_MA0607.2/N12_BHLHA15.e0","BHLHA15"
"BHLHA9.m0","BHLHA9.m0","M08204","BHLHA9"
"BHLHE22.m0","BHLHE22.m0","N2_M03008/N9_BHLHE22.e0/N3_M04403/N5_MA0818.2/N7_BHLHE22.h0/N4_M04404/N1_M01811","BHLHE22"
"BHLHE22.m1","BHLHE22.m1","N6_MA1635.2/N8_BHLHE22.h1","BHLHE22"
"BHLHE23.m0","BHLHE23.m0","N7_M04313/N10_MA0817.2/N11_BHLHE23.h0/N2_M06381/N1_M03822/N5_M02988/N12_BHLHE23.e0","BHLHE23"
"BHLHE23.m1","BHLHE23.m1","N4_M06383","BHLHE23"
"BHLHE40.m0","BHLHE40.m0","N9_M04331/N8_M04330/N16_BHLHE40.e2/N14_BHLHE40.e0/N3_M03021/N19_BHLHE40.e5/N4_M03022/N7_M02992/N12_MA0464.3/N13_BHLHE40.h0/N18_BHLHE40.e4/N5_Bhlhe40.h0/N17_BHLHE40.e3/N1_bHLHE40.h0/N11_M10579/N10_M08256","BHLHE40"
"BHLHE41.m0","BHLHE41.m0","N6_M04311/N5_M04310/N4_M02987/N7_MA0636.1/N8_BHLHE41.h0/N10_BHLHE41.e1/N3_M02986/N9_BHLHE41.e0","BHLHE41"
"BMAL1.m0","BMAL1.m0","N1_Bmal1.h0/N5_M01833/N7_MA0603.2/N6_M10601/N8_BMAL1.h0/N3_M04328","BMAL1"
"BMAL1.m1","BMAL1.m1","N2_M02991/N9_BMAL1.e0","BMAL1"
"BNC2.m0","BNC2.m0","MA1928.2","BNC2"
"BORCS8-MEF2B.m0","BORCS8-MEF2B.m0","N1_M02949/N4_M03548/N3_M03547/N24_M12066/N22_M12060","BORCS8-MEF2B"
"BORCS8-MEF2B.m1","BORCS8-MEF2B.m1","N7_M05759/N5_M05755/N8_M05760/N6_M05756","BORCS8-MEF2B"
"BORCS8-MEF2B.m2","BORCS8-MEF2B.m2","N11_M05763/N12_M05764","BORCS8-MEF2B"
"BORCS8-MEF2B.m3","BORCS8-MEF2B.m3","N20_M12058","BORCS8-MEF2B"
"BORCS8-MEF2B.m4","BORCS8-MEF2B.m4","N23_M12061","BORCS8-MEF2B"
"BRCA1.m0","BRCA1.m0","BRCA1.e0","BRCA1"
"BSX.m0","BSX.m0","N1_Bsx.h0/N4_BSX.e0","BSX"
