"","motif","gene","source"
"AFP.e0","AFP.e0","AFP","AFP1_transfac_M00616"
"M10939","M10939","AHR","Transfac"
"AHR.e0","AHR.e0","AHR","AhR_transfac_M00139"
"AHR.e1","AHR.e1","AHR","AhR_transfac_M00778"
"MA0006.2","MA0006.2","AHR--ARNT","JASPAR"
"Ahr--Arnt.h0","Ahr--Arnt.h0","AHR--ARNT","Ahr::Arnt/MA0006.1/Jaspar"
"AHR--ARNT.e0","AHR--ARNT.e0","AHR--ARNT","AhR:Arnt_transfac_M00235"
"AHR--ARNT.e1","AHR--ARNT.e1","AHR--ARNT","AhR:Arnt_transfac_M00237"
"AHR--ARNT.e2","AHR--ARNT.e2","AHR--ARNT","Arnt::Ahr_jaspar_MA0006.1"
"AHR--ARNT--HIF1A.e0","AHR--ARNT--HIF1A.e0","AHR--ARNT--HIF1A","AhR,-Arnt,-HIF-1_transfac_M00976"
"AIRE.e0","AIRE.e0","AIRE","AIRE_transfac_M00999"
"AIRE.e1","AIRE.e1","AIRE","AIRE_transfac_M01000"
"MA0854.2","MA0854.2","ALX1","JASPAR"
"Alx1.h0","Alx1.h0","ALX1","Alx1/MA0854.1/Jaspar"
"Alx1.h1","Alx1.h1","ALX1","PH0010.1_Alx1_1/Jaspar"
"Alx1.h2","Alx1.h2","ALX1","PH0011.1_Alx1_2/Jaspar"
"M00526","M00526","ALX1","Berger08"
"M03430","M03430","ALX1","Jolma2013"
"M03476","M03476","ALX1","Jolma2013"
"M03477","M03477","ALX1","Jolma2013"
"M05531","M05531","ALX1","Yin2017"
"M05532","M05532","ALX1","Yin2017"
"ALX1.e0","ALX1.e0","ALX1","Cart-1_transfac_M00416"
"ALX1.e1","ALX1.e1","ALX1","Cart1_bulyk_cell08-0997.1"
"ALX1.e2","ALX1.e2","ALX1","Cart1_bulyk_cell08-1275.1"
"ALX1.e3","ALX1.e3","ALX1","Alx1_jolma_DBD_M454"
"ALX1.e4","ALX1.e4","ALX1","Alx1_jolma_DBD_M455"
"ALX1.e5","ALX1.e5","ALX1","CART1_jolma_DBD_M470"
"Alx3.h0","Alx3.h0","ALX3","PH0001.1_Alx3/Jaspar"
"M03376","M03376","ALX3","Jolma2013"
"M03377","M03377","ALX3","Jolma2013"
"M03378","M03378","ALX3","Jolma2013"
"M05399","M05399","ALX3","Yin2017"
"M05402","M05402","ALX3","Yin2017"
"M05403","M05403","ALX3","Yin2017"
"M05404","M05404","ALX3","Yin2017"
"MA0634.2","MA0634.2","ALX3","JASPAR"
"ALX3.h0","ALX3.h0","ALX3","ALX3/MA0634.1/Jaspar"
"ALX3.e0","ALX3.e0","ALX3","Alx3_bulyk_cell08-3418.2"
"ALX3.e1","ALX3.e1","ALX3","ALX3_jolma_DBD_M449"
"ALX3.e2","ALX3.e2","ALX3","ALX3_jolma_full_M450"
"ALX3.e3","ALX3.e3","ALX3","ALX3_jolma_full_M451"
"MA0853.2","MA0853.2","ALX4","JASPAR"
"Alx4.h0","Alx4.h0","ALX4","Alx4/MA0853.1/Jaspar"
"Alx4.h1","Alx4.h1","ALX4","PH0002.1_Alx4/Jaspar"
"M03283","M03283","ALX4","Jolma2013"
"M05121","M05121","ALX4","Yin2017"
"M05122","M05122","ALX4","Yin2017"
"M03482","M03482","ALX4","Jolma2013"
"ALX4.e0","ALX4.e0","ALX4","Alx-4_transfac_M00619"
"ALX4.e1","ALX4.e1","ALX4","Alx4_bulyk_cell08-1744.1"
"ALX4.e2","ALX4.e2","ALX4","ALX4_jolma_DBD_M452"
"ALX4.e3","ALX4.e3","ALX4","Alx4_jolma_DBD_M456"
"M02178","M02178","ANHX","Zoo_01"
"MA0007.4","MA0007.4","AR","JASPAR"
"Ar.h0","Ar.h0","AR","Ar/MA0007.3/Jaspar"
"M03593","M03593","AR","Jolma2013"
"M03594","M03594","AR","Jolma2013"
"M10732","M10732","AR","HOMER"
"M10733","M10733","AR","HOMER"
"AR.h0","AR.h0","AR","ARE(NR)/LNCAP-AR-ChIP-Seq(GSE27824)/Homer"
"AR.h1","AR.h1","AR","AR-halfsite(NR)/LNCaP-AR-ChIP-Seq(GSE27824)/Homer"
"M05573","M05573","ARGFX","Yin2017"
"M05574","M05574","ARGFX","Yin2017"
"M05575","M05575","ARGFX","Yin2017"
"M05576","M05576","ARGFX","Yin2017"
"MA1463.2","MA1463.2","ARGFX","JASPAR"
"ARGFX.h0","ARGFX.h0","ARGFX","ARGFX/MA1463.1/Jaspar"
"ARHGEF12.e0","ARHGEF12.e0","ARHGEF12","IRC900814_bulyk_sc09-primary"
"MA0151.1","MA0151.1","ARID3A","JASPAR"
"Arid3a.h0","Arid3a.h0","ARID3A","Arid3a/MA0151.1/Jaspar"
"Arid3a.h1","Arid3a.h1","ARID3A","PB0001.1_Arid3a_1/Jaspar"
"ARID3A.e0","ARID3A.e0","ARID3A","ARID3A_jaspar_MA0151.1"
"ARID3A.e1","ARID3A.e1","ARID3A","Arid3a_bulyk_sc09-primary"
"MA0601.2","MA0601.2","ARID3B","JASPAR"
"Arid3b.h0","Arid3b.h0","ARID3B","Arid3b/MA0601.1/Jaspar"
"M01741","M01741","ARID3B","Zoo_01"
"M03794","M03794","ARID3B","Nitta2015"
"M06295","M06295","ARID3B","FlyFactorSurvey"
"M10891","M10891","ARID3B","Transfac"
"MA0602.2","MA0602.2","ARID5A","JASPAR"
"Arid5a.h0","Arid5a.h0","ARID5A","Arid5a/MA0602.1/Jaspar"
"Arid5a.h1","Arid5a.h1","ARID5A","PB0002.1_Arid5a_1/Jaspar"
"M00171","M00171","ARID5A","Badis09"
"ARID5A.e0","ARID5A.e0","ARID5A","Arid5a_bulyk_sc09-primary"
"M10890","M10890","ARID5B","Transfac"
"ARID5B.e0","ARID5B.e0","ARID5B","MRF-2_transfac_M00454"
"M01801","M01801","ARNT","Zoo_01"
"MA0004.1","MA0004.1","ARNT","JASPAR"
"Arnt.h0","Arnt.h0","ARNT","HIF-1b(HLH)/T47D-HIF1b-ChIP-Seq(GSE59937)/Homer"
"Arnt.h1","Arnt.h1","ARNT","Arnt/MA0004.1/Jaspar"
"M10582","M10582","ARNT","HOMER"
"M10986","M10986","ARNT","Transfac"
"M10987","M10987","ARNT","Transfac"
"ARNT.e0","ARNT.e0","ARNT","Arnt_transfac_M00236"
"ARNT.e1","ARNT.e1","ARNT","Arnt_transfac_M00539"
"ARNT.e2","ARNT.e2","ARNT","Arnt_jaspar_MA0004.1"
"Arnt--Ahr.h0","Arnt--Ahr.h0","ARNT--AHR","Arnt:Ahr(bHLH)/MCF7-Arnt-ChIP-Seq(Lo_et_al.)/Homer"
"MA0259.2","MA0259.2","ARNT--HIF1A","JASPAR"
"ARNT--HIF1A.h0","ARNT--HIF1A.h0","ARNT--HIF1A","ARNT::HIF1A/MA0259.1/Jaspar"
"M01802","M01802","ARNT2","Zoo_01"
"M04374","M04374","ARNT2","Yin2017"
"MA1464.2","MA1464.2","ARNT2","JASPAR"
"ARNT2.h0","ARNT2.h0","ARNT2","ARNT2/MA1464.1/Jaspar"
"MA0874.2","MA0874.2","ARX","JASPAR"
"Arx.h0","Arx.h0","ARX","Arx/MA0874.1/Jaspar"
"Arx.h1","Arx.h1","ARX","PH0003.1_Arx/Jaspar"
"M00315","M00315","ARX","Barrera2016"
"M00317","M00317","ARX","Barrera2016"
"M00318","M00318","ARX","Barrera2016"
"M00320","M00320","ARX","Barrera2016"
"M03280","M03280","ARX","Jolma2013"
"M05099","M05099","ARX","Yin2017"
"M05100","M05100","ARX","Yin2017"
"M00522","M00522","ARX","Berger08"
"M03473","M03473","ARX","Jolma2013"
"ARX.e0","ARX.e0","ARX","Arx_bulyk_cell08-1738.2"
"ARX.e1","ARX.e1","ARX","ARX_jolma_DBD_M453"
"ARX.e2","ARX.e2","ARX","Arx_jolma_DBD_M457"
"M04339","M04339","ASCL1","Yin2017"
"M04340","M04340","ASCL1","Yin2017"
"MA1100.3","MA1100.3","ASCL1","JASPAR"
"MA1631.2","MA1631.2","ASCL1","JASPAR"
"ASCL1.h0","ASCL1.h0","ASCL1","ASCL1/MA1100.2/Jaspar"
"ASCL1.h1","ASCL1.h1","ASCL1","ASCL1(var.2)/MA1631.1/Jaspar"
"M00172","M00172","ASCL2","Badis09"
"M03018","M03018","ASCL2","Jolma2013"
"MA0816.1","MA0816.1","ASCL2","JASPAR"
"Ascl2.h0","Ascl2.h0","ASCL2","Ascl2(bHLH)/ESC-Ascl2-ChIP-Seq(GSE97712)/Homer"
"Ascl2.h1","Ascl2.h1","ASCL2","Ascl2/MA0816.1/Jaspar"
"Ascl2.h2","Ascl2.h2","ASCL2","PB0003.1_Ascl2_1/Jaspar"
"M04411","M04411","ASCL2","Yin2017"
"M04412","M04412","ASCL2","Yin2017"
"M04413","M04413","ASCL2","Yin2017"
"M04414","M04414","ASCL2","Yin2017"
"M04415","M04415","ASCL2","Yin2017"
"ASCL2.e0","ASCL2.e0","ASCL2","Ascl2_bulyk_sc09-primary"
"ASCL2.e1","ASCL2.e1","ASCL2","Ascl2_jolma_DBD_M307"
"M01886","M01886","ATF1","Zoo_01"
"MA0604.1","MA0604.1","ATF1","JASPAR"
"Atf1.h0","Atf1.h0","ATF1","Atf1(bZIP)/K562-ATF1-ChIP-Seq(GSE31477)/Homer"
"Atf1.h1","Atf1.h1","ATF1","Atf1/MA0604.1/Jaspar"
"Atf1.h2","Atf1.h2","ATF1","PB0004.1_Atf1_1/Jaspar"
"Atf1.h3","Atf1.h3","ATF1","PB0108.1_Atf1_2/Jaspar"
"M10608","M10608","ATF1","HOMER"
"M10616","M10616","ATF2","HOMER"
"Atf2.h0","Atf2.h0","ATF2","Atf2(bZIP)/3T3L1-Atf2-ChIP-Seq(GSE56872)/Homer"
"M04221","M04221","ATF2","RodriguezMartinez2017"
"M04454","M04454","ATF2","Yin2017"
"M04455","M04455","ATF2","Yin2017"
"M04456","M04456","ATF2","Yin2017"
"M04457","M04457","ATF2","Yin2017"
"M11064","M11064","ATF2","Transfac"
"M11065","M11065","ATF2","Transfac"
"MA1632.2","MA1632.2","ATF2","JASPAR"
"ATF2.h0","ATF2.h0","ATF2","ATF2/MA1632.1/Jaspar"
"ATF2.e0","ATF2.e0","ATF2","ATF2_transfac_M00040"
"ATF2.e1","ATF2.e1","ATF2","ATF2:c-Jun_transfac_M00041"
"ATF2.e2","ATF2.e2","ATF2","ATF2_transfac_M00179"
"M01889","M01889","ATF3","Zoo_01"
"MA1988.2","MA1988.2","ATF3","JASPAR"
"Atf3.h0","Atf3.h0","ATF3","Atf3(bZIP)/GBM-ATF3-ChIP-Seq(GSE33912)/Homer"
"M04236","M04236","ATF3","RodriguezMartinez2017"
"M04237","M04237","ATF3","RodriguezMartinez2017"
"M04525","M04525","ATF3","Yin2017"
"M04526","M04526","ATF3","Yin2017"
"M04527","M04527","ATF3","Yin2017"
"M04528","M04528","ATF3","Yin2017"
"M08280","M08280","ATF3","ENCODE"
"M08281","M08281","ATF3","ENCODE"
"M08282","M08282","ATF3","ENCODE"
"M08283","M08283","ATF3","ENCODE"
"M08980","M08980","ATF3","modENCODE"
"M08981","M08981","ATF3","modENCODE"
"M10612","M10612","ATF3","HOMER"
"MA0605.3","MA0605.3","ATF3","JASPAR"
"ATF3.h0","ATF3.h0","ATF3","ATF3/MA0605.2/Jaspar"
"ATF3.e0","ATF3.e0","ATF3","ATF3_GM12878_encode-Myers_seq_hsa_r1:MDscan#1#Intergenic"
"ATF3.e1","ATF3.e1","ATF3","ATF3_K562_encode-Snyder_seq_hsa_r1:MEME#3#Intergenic"
"ATF3.e3","ATF3.e3","ATF3","ATF3_H1-hESC_encode-Myers_seq_hsa_v041610.2_r1:AligCE#2#Intergenic"
"ATF3.e4","ATF3.e4","ATF3","ATF1_1"
"ATF3.e5","ATF3.e5","ATF3","CREB1_1"
"ATF3.e6","ATF3.e6","ATF3","CREB1_2"
"ATF3.e7","ATF3.e7","ATF3","CREB1_3"
"ATF3.e8","ATF3.e8","ATF3","CREB1_4"
"ATF3.e9","ATF3.e9","ATF3","CREB1_5"
"ATF3.e10","ATF3.e10","ATF3","CREB1_6"
"ATF3.e11","ATF3.e11","ATF3","ATF1_2"
"ATF3.e12","ATF3.e12","ATF3","ATF3_1"
"ATF3.e13","ATF3.e13","ATF3","ATF1_3"
"ATF3.e14","ATF3.e14","ATF3","CREB1_7"
"ATF3.e15","ATF3.e15","ATF3","CREB1_8"
"ATF3.e16","ATF3.e16","ATF3","CREB1_9"
"ATF3.e17","ATF3.e17","ATF3","CREB_1"
"ATF3.e18","ATF3.e18","ATF3","CREB1_10"
"ATF3.e19","ATF3.e19","ATF3","ATF1_4"
"M03069","M03069","ATF4","Jolma2013"
"M10619","M10619","ATF4","HOMER"
"Atf4.h0","Atf4.h0","ATF4","Atf4(bZIP)/MEF-Atf4-ChIP-Seq(GSE35681)/Homer"
"M03038","M03038","ATF4","Jolma2013"
"M04231","M04231","ATF4","RodriguezMartinez2017"
"M04478","M04478","ATF4","Yin2017"
"M04479","M04479","ATF4","Yin2017"
"M04480","M04480","ATF4","Yin2017"
"MA0833.3","MA0833.3","ATF4","JASPAR"
"ATF4.h0","ATF4.h0","ATF4","ATF4/MA0833.2/Jaspar"
"ATF4.e0","ATF4.e0","ATF4","ATF4_transfac_M00514"
"ATF4.e1","ATF4.e1","ATF4","ATF4_jolma_DBD_M352"
"ATF4.e2","ATF4.e2","ATF4","Atf4_jolma_DBD_M354"
"M04222","M04222","ATF6","RodriguezMartinez2017"
"M04223","M04223","ATF6","RodriguezMartinez2017"
"M04224","M04224","ATF6","RodriguezMartinez2017"
"M04225","M04225","ATF6","RodriguezMartinez2017"
"M04458","M04458","ATF6","Yin2017"
"M04459","M04459","ATF6","Yin2017"
"M04460","M04460","ATF6","Yin2017"
"M04461","M04461","ATF6","Yin2017"
"M11070","M11070","ATF6","Transfac"
"MA1466.2","MA1466.2","ATF6","JASPAR"
"ATF6.h0","ATF6.h0","ATF6","ATF6/MA1466.1/Jaspar"
"ATF6.e0","ATF6.e0","ATF6","ATF6_transfac_M00483"
"M04245","M04245","ATF6B","RodriguezMartinez2017"
"M04246","M04246","ATF6B","RodriguezMartinez2017"
"M04247","M04247","ATF6B","RodriguezMartinez2017"
"M04248","M04248","ATF6B","RodriguezMartinez2017"
"M04579","M04579","ATF6B","Yin2017"
"M04580","M04580","ATF6B","Yin2017"
"M04581","M04581","ATF6B","Yin2017"
"M04582","M04582","ATF6B","Yin2017"
"M04583","M04583","ATF6B","Yin2017"
"M01905","M01905","ATF7","Zoo_01"
"M10622","M10622","ATF7","HOMER"
"Atf7.h0","Atf7.h0","ATF7","Atf7(bZIP)/3T3L1-Atf7-ChIP-Seq(GSE56872)/Homer"
"M03076","M03076","ATF7","Jolma2013"
"M04586","M04586","ATF7","Yin2017"
"M04587","M04587","ATF7","Yin2017"
"MA0834.2","MA0834.2","ATF7","JASPAR"
"ATF7.h0","ATF7.h0","ATF7","ATF7/MA0834.1/Jaspar"
"ATF7.e0","ATF7.e0","ATF7","ATF7_jolma_DBD_M353"
"M08218","M08218","ATMIN","CodeBook"
"M01836","M01836","ATOH1","Zoo_01"
"M03024","M03024","ATOH1","Jolma2013"
"M10603","M10603","ATOH1","HOMER"
"MA0461.3","MA0461.3","ATOH1","JASPAR"
"MA1467.3","MA1467.3","ATOH1","JASPAR"
"Atoh1.h0","Atoh1.h0","ATOH1","Atoh1(bHLH)/Cerebellum-Atoh1-ChIP-Seq(GSE22111)/Homer"
"Atoh1.h1","Atoh1.h1","ATOH1","Atoh1/MA0461.2/Jaspar"
"M04370","M04370","ATOH1","Yin2017"
"M04371","M04371","ATOH1","Yin2017"
"M04372","M04372","ATOH1","Yin2017"
"M04373","M04373","ATOH1","Yin2017"
"ATOH1.h0","ATOH1.h0","ATOH1","ATOH1(var.2)/MA1467.1/Jaspar"
"ATOH1.e0","ATOH1.e0","ATOH1","Atoh1_jolma_DBD_M308"
"M04397","M04397","ATOH7","Yin2017"
"M04398","M04398","ATOH7","Yin2017"
"MA1468.1","MA1468.1","ATOH7","JASPAR"
"ATOH7.h0","ATOH7.h0","ATOH7","ATOH7/MA1468.1/Jaspar"
"Bach1.h0","Bach1.h0","BACH1","Bach1(bZIP)/K562-Bach1-ChIP-Seq(GSE31477)/Homer"
"M08977","M08977","BACH1","modENCODE"
"M08978","M08978","BACH1","modENCODE"
"M08979","M08979","BACH1","modENCODE"
"M10611","M10611","BACH1","HOMER"
"M11098","M11098","BACH1","Transfac"
"MA1633.2","MA1633.2","BACH1","JASPAR"
"BACH1.h0","BACH1.h0","BACH1","BACH1/MA1633.1/Jaspar"
"BACH1.e0","BACH1.e0","BACH1","Bach1_transfac_M00495"
"MA0591.2","MA0591.2","BACH1--MAFK","JASPAR"
"Bach1--Mafk.h0","Bach1--Mafk.h0","BACH1--MAFK","Bach1::Mafk/MA0591.1/Jaspar"
